date_added,company,vertical,type,region,city,country,signal,score,status,solutions,est_value,source_url,notes
2026-07-09,GamingTec,iGaming,ISV,全球,,全球,結構型:白牌賭場+sportsbook 平台商,C,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://gamingtec.com/gt-white-label,ISV 綁定型觀察
2026-07-09,Dacast,賽事,ISV,全球,,全球,"結構型:OTT 串流方案商,客戶多為體育/活動串流",C,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.dacast.com/blog/ott-sports-streaming/,方案商綁定型觀察
2026-07-09,iGBA(iGB Affiliate),iGaming,合作夥伴,全球,,全球,結構型:聯盟行銷展會與全球名錄主辦方,C,new,DDoS高防;CDN;雲主機;SMS-OTP,轉介型(間接),https://www.igbaffiliate.com/en/directory/,批量觸達流量主的管道
2026-07-10,Even Realities,AI,客戶,中國(深圳),深圳,中國,"7/6 完成 $150M pre-Series B(美團+騰訊領投,估值 $1B),AI 智慧眼鏡,資金用於強化 AI 與國際擴張",A,new,模型折扣;GPU;雲主機;CDN,50k+/月(大型),https://techcrunch.com/2026/07/06/smart-glasses-maker-even-realities-hits-1b-valuation-with-150m-funding-led-by-meituan-tencent/,核心地區+剛融資;切入=海外低延遲推理節點+成本對比
2026-07-10,Talkie(MiniMax),AI×成人,客戶,中國(上海),上海,中國,"出海 AI 伴侶頭部 App(海外版含擦邊內容);中國新規 7/15 生效,出海成唯一成長線",B,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://www.scmp.com/tech/big-tech/article/3328023/chinas-kuaishou-lures-overseas-users-nsfw-ai-companions,核心地區+成人 AI 契合;低調接觸海外業務/infra
2026-07-10,Symphony Tech(快手 FantaSay),AI×成人,客戶,新加坡,新加坡,新加坡,"快手新加坡子公司營運 NSFW 向 AI 伴侶 FantaSay(2025/9 上線、50 萬下載;非新訊號,7/15 新規催化,已註明)",B,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://www.scmp.com/tech/big-tech/article/3328023/chinas-kuaishou-lures-overseas-users-nsfw-ai-companions,結構型;新加坡實體=核心地區
2026-07-10,PolyBuzz,AI×成人,客戶,中國(北京),北京,中國,"出海 AI 伴侶 App;7/15 新規生效當日中媒點名為出海黑馬(2000 萬 AI 角色),國內關停流量湧入(7/16 升級 B→A)",A,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://www.scmp.com/tech/big-tech/article/3328023/chinas-kuaishou-lures-overseas-users-nsfw-ai-companions,出海 AI 伴侶賽道
2026-07-10,Venice,AI,客戶,美國,,美國,"7 月首週完成 $65M Series A(Dragonfly 領投,估值 $1B),私密無審查 AI 模型平台",B,new,模型折扣;GPU;雲主機;CDN,50k+/月(大型),https://www.crescendo.ai/news/latest-vc-investment-deals-in-ai-startups,地區非核心;無審查定位與我方互補
2026-07-10,KICK,賽事,客戶,全球(Stake 系),,全球,"6/27 成為 Riot 官方轉播夥伴(MSI 2026 起 LoL/Valorant/TFT),串流量暴增期",B,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.riotgames.com/en/news/riot-kick-watch-costreaming,博彩關聯背景與我方接受度契合
2026-07-10,DigiPlus,iGaming,客戶,菲律賓,馬尼拉?(待查),菲律賓,"菲 eGames 龍頭:HK$16 億認購 IEC 可轉股至 53.89% 控制權、攜 TGXI 整合線上平台(6 月訊號,14 天窗邊緣已註明)",B,new,DDoS高防;CDN;雲主機;SMS-OTP,50k+/月(大型),https://agbrief.com/news/philippines/10/06/2026/international-entertainment-to-enter-philippine-online-gaming-via-digiplus-subsidiary-tgxi/,亞太龍頭擴張期
2026-07-10,IEC(國際娛樂),iGaming,客戶,香港/菲律賓,香港,香港,"透過 DigiPlus 子公司 TGXI 進入菲線上博彩,新平台整合建設期(待 PAGCOR 批准)",B,new,DDoS高防;CDN;雲主機;SMS-OTP,50k+/月(大型),https://agbrief.com/news/philippines/10/06/2026/international-entertainment-to-enter-philippine-online-gaming-via-digiplus-subsidiary-tgxi/,香港上市=核心地區;8/8 補強:6/10 與 DigiPlus 子司 TGXI 簽約經 LaVie 上線線上博彩(2年約)
2026-07-10,Candy AI,AI×成人,客戶,全球,,全球,"結構型:頭部 NSFW AI 伴侶平台(圖像+對話),重推理用量、主流雲政策風險高",B,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://jovo.tech/ai/best-ai-companions-in-2026-top-unfiltered-nsfw-ai-chat-apps/,賣點=接受此行業+不會突然封你
2026-07-10,Janitor AI,AI×成人,客戶,全球,,全球,"結構型:巨量流量 NSFW 角色扮演平台(可外接模型),推理代管/GPU 需求大",B,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://www.scrile.com/blog/free-uncensored-ai-chat,同上
2026-07-10,HiWaifu,AI×成人,客戶,香港,香港,香港,"出海 AI 伴侶 App,規模較小",C,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://www.scmp.com/tech/big-tech/article/3328023/chinas-kuaishou-lures-overseas-users-nsfw-ai-companions,先觀察;8/16 更正:Tracxn 確認總部香港(原標中國)
2026-07-10,SpicyChat,AI×成人,客戶,全球,,全球,結構型:NSFW AI 聊天平台,C,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://www.scrile.com/blog/free-uncensored-ai-chat,觀察;8/16 補強:上線 28 個月破 1 億用戶(2025 底官宣);多語模式上線
2026-07-10,Soulkyn,AI×成人,客戶,全球,,全球,結構型:AI 伴侶平台(含圖像生成),C,new,GPU;模型折扣;CDN;SMS,5k–30k/月,https://jovo.tech/ai/best-ai-companions-in-2026-top-unfiltered-nsfw-ai-chat-apps/,觀察
2026-07-10,DAZN,賽事,客戶,全球,,全球,7/8 宣布連續第三年免費全球轉播 EWC(7/6-8/23),C,new,直播加速;CDN;DDoS高防,50k+/月(大型),https://www.broadbandtvnews.com/2026/07/08/dazn-renews-free-global-coverage-of-esports-world-cup/,體量大、自有分發成熟
2026-07-10,Blask,iGaming,ISV,全球,,全球,7/8 推出模組化訂閱的 iGaming 市場分析 SaaS,C,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://g3newswire.com/blask-introduces-modular-pricing-for-igaming-analytics/,ISV 觀察
2026-07-10,Gataca,iGaming,合作夥伴,全球,,全球,iGaming 身分驗證/合規方案商(7/8 yogonet 專文),C,new,DDoS高防;CDN;雲主機;SMS-OTP,轉介型(間接),https://www.yogonet.com/international/nyce/news/2026/07/08/125281-strengthening-igaming-identity-infrastructure-through-verifiable-credentials-and-realtime-risk-intelligence,夥伴型觀察
2026-07-11,Tripo AI(VAST),AI,客戶,中國(北京),北京,中國,"7/2 宣布 $150M Series A3(吉利/4399/巨人/復星等),3 月甫獲阿里+百度 $50M;資金用於數據基礎設施與更大模型訓練",A,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.globenewswire.com/news-release/2026/07/02/3321436/0/en/tripo-ai-raises-150-million-in-series-a3-financing-backed-by-investors-across-automotive-gaming-internet-and-technology-sectors.html,核心地區+GPU 需求爆點;切入=H100/H200 供給與價格對比
2026-07-11,Zeroth(蘇州靈童/JoyIn),AI,客戶,中國(蘇州),蘇州,中國,"7/1 螞蟻領投 ¥5 億 pre-A(累計 ¥10 億);陪伴機器人訂單 3 萬台、H1 營收 +600%,今秋擴歐美",A,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.cnbc.com/2026/07/01/alibaba-affiliate-ant-group-enters-the-humanoid-robot-market-with-12-deals.html,核心地區+出海在即;切入=海外推理節點+機器人雲管理
2026-07-11,Paradise Entertainment,iGaming,客戶+ISV,澳門,澳門,澳門,"進軍線上:B2B 內容品牌 Infernoplay 上線,規劃菲/馬等海外擴張(3/27 報導,結構型已註明)",B,new,DDoS高防;CDN;雲主機;SMS-OTP,10k–50k/月(綁定下游),https://asgam.com/2026/03/27/macaus-paradise-eyes-online-gaming-casino-consultancy-services-as-latest-expansion-opportunities-amid-decline-in-fy25-revenue-and-profit/,澳門=核心;線上內容分發新需求
2026-07-11,eCLUTCH,賽事,客戶,中東/北非/歐洲,,歐洲,"取得 EWC 2026(7/6-8/23)EMEA+MENA 轉播權,串流高峰進行中",B,new,直播加速;CDN;DDoS高防,10k–50k/月,https://www.broadcastprome.com/news/eclutch-secures-esports-wc-2026-broadcast-rights-across-emea-and-mena/,地區非核心
2026-07-11,4399 Network,AI×遊戲,客戶,中國,,中國,結構型:中國遊戲發行商、海外發行活躍;參投 Tripo AI 顯示 AI+遊戲投入,B,new,CDN;雲主機;SMS-OTP,3k–15k/月(模型折扣起步),https://www.globenewswire.com/news-release/2026/07/02/3321436/0/en/tripo-ai-raises-150-million-in-series-a3-financing-backed-by-investors-across-automotive-gaming-internet-and-technology-sectors.html,出海遊戲=海外 CDN/加速需求
2026-07-11,三七互娛(37 Interactive),AI×遊戲,客戶,中國,,中國,結構型:頭部出海遊戲發行商(37GAMES);參投 Zeroth 顯示 AI/機器人布局,B,new,CDN;雲主機;SMS-OTP,3k–15k/月(模型折扣起步),https://www.cnbc.com/2026/07/01/alibaba-affiliate-ant-group-enters-the-humanoid-robot-market-with-12-deals.html,海外發行=全球加速需求
2026-07-11,Yingzhi XBOT,AI,客戶,待查,,待查,7 月首週披露 $56M Series B(機器人/AI),C,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://fundup.ai/recently-funded-startups,總部與出海計畫待查
2026-07-11,Giant Network(巨人網絡),AI×遊戲,客戶,中國,,中國,參投 Tripo AI;AI+遊戲投入觀察,C,new,CDN;雲主機;SMS-OTP,3k–15k/月(模型折扣起步),https://www.globenewswire.com/news-release/2026/07/02/3321436/0/en/tripo-ai-raises-150-million-in-series-a3-financing-backed-by-investors-across-automotive-gaming-internet-and-technology-sectors.html,"觀察;8/16 補強:超自然行動組港澳台試營運進免費榜前三,2026 全球發行;出海+AIGC 為新戰略(海外營收僅 0.43%=天花板大)"
2026-07-11,Tanwan(探玩),AI×遊戲,客戶,中國,,中國,"中國頁遊/出海發行商,參投 Tripo AI",C,new,CDN;雲主機;SMS-OTP,3k–15k/月(模型折扣起步),https://www.globenewswire.com/news-release/2026/07/02/3321436/0/en/tripo-ai-raises-150-million-in-series-a3-financing-backed-by-investors-across-automotive-gaming-internet-and-technology-sectors.html,觀察
2026-07-11,Stream Hatchet(GameSquare),賽事,合作夥伴,全球,,全球,"7/8 發布電競直播趨勢報告,直播數據方",C,new,直播加速;CDN;DDoS高防,轉介型(間接),https://www.accessnewswire.com/newsroom/en/computers-technology-and-internet/gamesquares-stream-hatchet-publishes-esports-live-streaming-trend-1188147,數據方=潛在夥伴觀察
2026-07-12,GIM(Grace Investment Machine),AI,客戶,香港(+北京/上海),北京,中國,"7/9 完成 $20M Series A(弘毅領投、IDG/Monolith 參投),一年內第三輪;agentic 投資 AI 進入實盤執行",A,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.prnewswire.com/news-releases/gim-raises-us20-million-series-a-as-agentic-investing-enters-live-execution-302821550.html,香港=核心;切入=同城低延遲 GPU 推理
2026-07-12,智平方(AI² Robotics),AI,客戶,中國(深圳),深圳,中國,"6/29 完成近 ¥50 億($736M)融資,估值 $2.9B(14 天 B 窗內)",B,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://www.therobotreport.com/ai%C2%B2-robotics-raises-735m-3b-valuation-wheeled-humanoid-robots/,通用機器人=雲端推理+資料回傳大戶
2026-07-12,自變量機器人(X Square Robot),AI,客戶,中國(深圳),深圳,中國,"6/29 報導獲阿里支持連續多輪融資,估值 $2.8B",B,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://siliconangle.com/2026/06/29/chinese-robotics-outfits-ai2-robotics-x-square-robots-secure-funding-2-8b-valuation/,具身智能第一梯隊
2026-07-12,智譜 AI(Zhipu),AI,客戶,中國(北京),北京,中國,"7/6 人民網出海專文:已在新加坡/UAE/沙特部署大模型基建,海外節點持續擴張",B,new,模型折扣;GPU;雲主機;CDN,50k+/月(大型),http://finance.people.com.cn/BIG5/n1/2026/0706/c1004-40753868.html,體量大但海外擴張中
2026-07-12,中文在線,AI×串流,客戶,中國(北京),北京,中國,7/20 官宣快速推動 AI 短劇出海:FlareFlow 上線 500+ 部、年底產能 3000 部/年、廣東設新公司(7/23 升級 B→A),A,new,CDN;直播加速;雲主機;SMS行銷,10k–60k/月(頻寬大戶),https://www.cbndata.com/information/294947,"CDN/頻寬佔短劇非內容支出 30-50%;7/23 升級,決策人童之磊(董事長);8/14 補強:海外分賬收入年增 6 倍,海外營收佔比破 40%"
2026-07-12,ReelShort(楓葉互動),串流,客戶,美國/中國,,中國,"結構型:短劇出海雙巨頭之一,下載量多次超越 Netflix,全球分發擴張",B,new,CDN;直播加速;雲主機;SMS行銷,50k+/月(大型),https://adfox.ai/blog/zh/short-drama-platforms/,價格敏感=我方價格優勢直擊
2026-07-12,DramaBox(點眾科技),串流,客戶,中國(北京),北京,中國,"結構型:短劇出海雙巨頭之一,獲迪士尼加速器投資;多市場分發",B,new,CDN;直播加速;雲主機;SMS行銷,50k+/月(大型),https://www.cbndata.com/information/294947,同上
2026-07-12,DeepSeek,AI,客戶,中國(杭州),杭州,中國,"7/3 報導籌備 $7B 融資;7/14 明報:最新一輪已完成,創辦人身家達 $360 億(舊 Lead 新訊號)",C,new,模型折扣;GPU;雲主機;CDN,50k+/月(大型),https://n.yam.com/Article/20260703156129,體量大、以國內算力為主;觀察海外推理布局;7/31 補強:Q2 完成 $74 億、估值 $500 億(亞洲最大單筆)
2026-07-12,擎天租,AI,客戶,中國,,中國,中國首家機器人租賃獨角獸(估值 ¥70 億),C,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://hkej.com/instantnews/china/article/4409626/,租賃模式=機器人雲端管理需求
2026-07-12,Norm AI,AI,客戶,美國,,美國,"7/7 完成 $120M Series C,合規 AI",C,new,模型折扣;GPU;雲主機;CDN,3k–15k/月(模型折扣起步),https://techstartups.com/2026/07/08/venture-capital-startup-funding-roundup-july-8-2026/,地區非核心觀察
2026-07-12,Visionular,賽事,合作夥伴,美國/全球,,美國,"影音編碼 AI 方案商,深耕短劇/串流客群",C,new,直播加速;CDN;DDoS高防,轉介型(間接),https://visionular.ai/short-drama-the-new-content-category-disrupting-global-entertainment/,客戶重疊的潛在轉介夥伴
2026-07-15,IGG Group,遊戲出海,客戶,新加坡/香港,香港,香港,"結構型:老牌出海發行商,分支遍及泰/菲/印尼/UAE,服務 200+ 國家用戶",B,new,CDN;雲主機;SMS-OTP,3k–10k/月,https://mtz.china.com/touzi/2025/1210/207202.html,核心地區;全球加速/節點穩定需求
2026-07-15,點點互動(Century Games),遊戲出海,客戶,中國,,中國,"結構型:中國廠商出海收入榜首級(Whiteout Survival 累計破百億),四大洲八國佈局",B,new,CDN;雲主機;SMS-OTP,3k–10k/月,https://hk.investing.com/news/stock-market-news/article-475765,頻寬/加速大戶
2026-07-15,中手游(GamePartner.AI),遊戲出海×AI,ISV,中國,,中國,5/9 與杭州機憶 AI 推出 GamePartner.AI(AI+全球發行一體平台);結構型已註明日期,B,new,CDN;雲主機;SMS-OTP,3k–15k/月(模型折扣起步),https://finance.sina.com.cn/jjxw/2026-05-09/doc-inhxhkfp3556456.shtml,綁定=帶入休閒遊戲開發者客群
2026-07-15,1xBet,iGaming,客戶,全球(亞洲活躍),,全球,"7/13 IAG 專文其全球監管策略;亞洲灰市活躍大戶,與我方接受博彩定位契合",B,new,DDoS高防;CDN;雲主機;SMS-OTP,5k–30k/月,https://asgam.com/2026/07/13/from-regulation-to-responsibility-the-1xbet-global-strategy/,自建成熟故 B 觀察接觸
